payment_id,booking_id,payment_method,payment_status,amount
P00000317,B00000351,Visa,Success,10.85
P00000319,B00000354,Cash,Success,36.94
P00000320,B00000355,Mastercard,Success,16.63
P00000321,B00000356,Cash,Success,15.08
P00000323,B00000358,Mastercard,Failed,23.54
P00000325,B00000360,Mastercard,Success,22.32
P00000326,B00000361,Visa,Success,25.47
P00000329,B00000364,Paynow,Success,63.07
P00000330,B00000365,Visa,Success,28.82
P00000331,B00000366,Mastercard,Success,17.87
P00000333,B00000368,Paynow,Success,46.27
P00000334,B00000369,Cash,Success,75.55
P00000335,B00000370,Cash,Success,42.26
P00000336,B00000371,Visa,Success,38.22
P00000338,B00000373,Cash,Success,30.27
P00000340,B00000375,Mastercard,Success,35.01
P00000341,B00000377,Paynow,Success,33.91
P00000344,B00000380,Paynow,Success,39.9
P00000348,B00000385,Paynow,Success,24.29
P00000351,B00000388,Cash,Success,9.33
P00000352,B00000389,Cash,Success,27.02
P00000355,B00000392,Mastercard,Success,38.28
P00000357,B00000394,Cash,Success,48.38
P00000363,B00000401,Mastercard,Success,25.33
P00000365,B00000403,Paynow,Success,29.16
P00000366,B00000404,Visa,Success,5.89
P00000367,B00000405,Paynow,Success,38.99
P00000369,B00000408,Visa,Success,19.15
P00000370,B00000409,Visa,Success,26.88
P00000371,B00000410,Visa,Success,54.95
P00000374,B00000413,Cash,Success,33.73
P00000377,B00000416,Visa,Success,34.92
P00000378,B00000417,Mastercard,Success,39.35
P00000379,B00000418,Visa,Success,53.17
P00000382,B00000421,Mastercard,Success,12.26
P00000385,B00000425,Visa,Success,21.47
P00000386,B00000426,Cash,Success,8.5
P00000387,B00000427,Cash,Success,19.61
P00000391,B00000434,Paynow,Success,61.78
P00000392,B00000435,Paynow,Success,37.6
P00000394,B00000439,Mastercard,Success,13.73
P00000396,B00000441,Visa,Success,48.26
P00000398,B00000443,Visa,Success,28.97
P00000399,B00000445,Mastercard,Success,53.26
P00000400,B00000446,Cash,Success,19.37
P00000401,B00000448,Visa,Success,53.78
P00000405,B00000452,Visa,Success,19.1
P00000406,B00000454,Mastercard,Success,39.43
P00000408,B00000457,Visa,Success,59.26
P00000410,B00000460,Cash,Success,16.98
P00000413,B00000463,Visa,Success,27.59
P00000415,B00000466,Visa,Success,24.11
P00000417,B00000468,Visa,Success,11.34
P00000418,B00000469,Paynow,Success,50.54
P00000419,B00000470,Cash,Success,47.93
P00000420,B00000471,Mastercard,Success,30.43
P00000424,B00000475,Mastercard,Success,9.13
P00000425,B00000477,Visa,Success,36.01
P00000426,B00000478,Mastercard,Success,38.87
P00000427,B00000479,Visa,Success,46.73
P00000428,B00000480,Visa,Success,9.03
P00000437,B00000490,Paynow,Success,8.72
P00000438,B00000491,Paynow,Success,43.68
P00000444,B00000497,Paynow,Success,68.74
P00000445,B00000498,Cash,Success,36.43
P00000446,B00000499,Paynow,Success,16.65
P00000448,B00000501,Cash,Refunded,38.38
P00000449,B00000502,Visa,Success,27.72
P00000450,B00000503,Cash,Success,47.56
P00000452,B00000505,Cash,Success,16.1
P00000453,B00000507,Cash,Success,9.76
P00000457,B00000512,Visa,Success,32.81
P00000458,B00000513,Mastercard,Success,32.4
P00000459,B00000514,Paynow,Success,40.91
P00000462,B00000517,Visa,Success,11.93
P00000464,B00000519,Visa,Success,8.41
P00000466,B00000522,Mastercard,Success,29.48
P00000467,B00000523,Mastercard,Success,57.78
P00000468,B00000525,Mastercard,Success,14.09
P00000471,B00000528,Cash,Success,34.65
P00000472,B00000529,Visa,Success,23.85
P00000476,B00000533,Visa,Success,35.21
P00000477,B00000534,Cash,Success,48.42
P00000478,B00000535,Cash,Success,9.46
P00000479,B00000536,Mastercard,Success,39.44
P00000480,B00000537,Visa,Success,51.84
P00000481,B00000538,Visa,Success,8.35
P00000483,B00000541,Cash,Success,19.34
P00000485,B00000543,Visa,Success,47.0
P00000487,B00000545,Cash,Success,34.23
P00000489,B00000547,Visa,Success,7.81
P00000490,B00000548,Mastercard,Success,19.75
P00000491,B00000549,Paynow,Success,53.06
P00000493,B00000552,Cash,Success,26.93
P00000497,B00000556,Mastercard,Success,12.5
P00000501,B00000560,Visa,Success,25.91
P00000502,B00000561,Cash,Success,48.65
P00000506,B00000565,Mastercard,Success,49.93
P00000509,B00000569,Visa,Success,37.21
P00000510,B00000570,Mastercard,Success,52.0
P00000511,B00000571,Cash,Success,34.42
P00000514,B00000574,Mastercard,Success,25.34
P00000518,B00000578,Cash,Success,46.51
P00000521,B00000582,Paynow,Success,31.64
P00000522,B00000583,Visa,Success,6.8
P00000527,B00000589,Paynow,Success,23.62
P00000529,B00000592,Visa,Success,14.33
P00000531,B00000594,Cash,Success,14.62
P00000536,B00000600,Mastercard,Success,22.82
P00000537,B00000601,Visa,Success,26.18
P00000541,B00000606,Cash,Success,12.16
P00000544,B00000609,Mastercard,Success,69.24
P00000545,B00000610,Cash,Success,14.42
P00000547,B00000612,Cash,Success,11.85
P00000548,B00000614,Paynow,Refunded,19.92
P00000550,B00000616,Visa,Success,17.62
P00000552,B00000619,Paynow,Success,14.06
P00000553,B00000620,Cash,Success,29.45
P00000554,B00000621,Visa,Success,26.35
P00000557,B00000624,Paynow,Success,45.0
P00000559,B00000626,Visa,Success,15.91
P00000560,B00000627,Mastercard,Success,21.29
P00000562,B00000629,Cash,Success,39.86
P00000566,B00000633,Visa,Success,75.62
P00000567,B00000634,Mastercard,Success,43.76
P00000569,B00000636,Visa,Success,44.88
P00000570,B00000638,Cash,Failed,20.65
P00000571,B00000639,Paynow,Success,7.36
P00000573,B00000641,Mastercard,Success,57.4
P00000574,B00000642,Mastercard,Success,34.79
P00000576,B00000644,Paynow,Success,47.61
P00000577,B00000645,Cash,Success,34.65
P00000579,B00000647,Cash,Success,12.12
P00000582,B00000650,Paynow,Failed,9.7
P00000583,B00000651,Cash,Success,21.77
P00000584,B00000652,Mastercard,Success,23.17
P00000585,B00000653,Paynow,Success,45.07
P00000586,B00000654,Paynow,Success,6.25
P00000588,B00000656,Mastercard,Success,46.18
P00000589,B00000657,Visa,Success,12.67
P00000590,B00000658,Mastercard,Success,38.52
P00000592,B00000660,Paynow,Success,26.86
P00000595,B00000663,Mastercard,Success,26.83
P00000596,B00000664,Paynow,Success,62.52
P00000601,B00000669,Cash,Success,27.67
P00000602,B00000670,Cash,Success,50.98
P00000603,B00000671,Paynow,Success,12.3
P00000606,B00000675,Visa,Failed,25.57
P00000608,B00000677,Mastercard,Success,36.58
P00000610,B00000679,Mastercard,Success,19.94
P00000611,B00000680,Mastercard,Success,40.13
P00000614,B00000683,Cash,Success,30.99
P00000616,B00000685,Visa,Success,14.27
P00000617,B00000686,Visa,Success,37.27
P00000619,B00000688,Cash,Success,31.7
P00000620,B00000689,Visa,Success,41.45
P00000621,B00000690,Visa,Success,35.71
P00000622,B00000691,Cash,Success,38.74
P00000623,B00000692,Mastercard,Success,29.75
P00000625,B00000694,Cash,Success,42.8
P00000626,B00000695,Cash,Success,26.74
P00000627,B00000696,Paynow,Success,55.32
P00000628,B00000697,Cash,Success,45.65
P00000631,B00000701,Mastercard,Success,31.71
P00000633,B00000703,Cash,Success,11.57
P00000634,B00000704,Paynow,Success,76.8
P00000635,B00000705,Visa,Success,19.13
P00000640,B00000710,Visa,Success,52.18
P00000642,B00000712,Paynow,Success,27.59
P00000643,B00000714,Visa,Success,57.47
P00000647,B00000718,Cash,Success,38.16
P00000648,B00000719,Mastercard,Failed,19.9
P00000649,B00000720,Paynow,Success,28.73
P00000650,B00000721,Paynow,Success,32.78
P00000651,B00000722,Visa,Success,34.39
P00000652,B00000723,Mastercard,Success,9.53
P00000655,B00000726,Visa,Success,36.85
P00000658,B00000730,Paynow,Success,38.3
P00000660,B00000733,Mastercard,Success,9.19
P00000661,B00000734,Cash,Success,17.42
P00000662,B00000735,Mastercard,Success,44.28
P00000664,B00000737,Paynow,Success,15.18
P00000667,B00000741,Cash,Success,17.62
P00000670,B00000744,Cash,Success,11.52
P00000671,B00000745,Paynow,Success,20.45
P00000673,B00000747,Paynow,Refunded,8.25
P00000675,B00000749,Cash,Success,28.92
P00000676,B00000750,Paynow,Success,38.3
P00000678,B00000754,Cash,Failed,10.55
P00000681,B00000757,Visa,Success,28.58
P00000682,B00000758,Visa,Success,35.93
P00000685,B00000761,Mastercard,Success,46.39
P00000687,B00000763,Mastercard,Success,50.74
P00000688,B00000764,Paynow,Failed,38.06
P00000689,B00000766,Cash,Success,37.7
P00000690,B00000767,Visa,Success,56.95
P00000694,B00000771,Cash,Success,24.47
P00000698,B00000776,Paynow,Success,31.55
P00000699,B00000777,Visa,Success,58.56
P00000704,B00000782,Mastercard,Success,35.64
P00000705,B00000783,Paynow,Success,31.05
P00000707,B00000785,Paynow,Success,33.55
P00000708,B00000786,Paynow,Success,36.98
P00000709,B00000787,Cash,Success,36.97
P00000711,B00000789,Cash,Success,38.42
P00000712,B00000790,Cash,Success,53.86
P00000713,B00000792,Mastercard,Success,33.93
P00000719,B00000798,Cash,Success,39.46
P00000721,B00000800,Mastercard,Success,16.54
P00000722,B00000802,Mastercard,Success,24.41
P00000724,B00000804,Paynow,Success,8.19
P00000725,B00000805,Visa,Success,28.82
P00000726,B00000806,Cash,Success,18.43
P00000727,B00000807,Visa,Success,32.47
P00000730,B00000811,Paynow,Success,14.45
P00000732,B00000813,Cash,Success,54.34
P00000735,B00000816,Cash,Success,55.99
P00000736,B00000817,Visa,Success,76.58
P00000739,B00000820,Visa,Success,54.41
P00000742,B00000823,Paynow,Success,30.36
P00000749,B00000830,Mastercard,Success,29.81
P00000752,B00000834,Cash,Success,11.48
P00000755,B00000837,Cash,Success,40.29
P00000758,B00000840,Mastercard,Success,60.29
P00000759,B00000841,Cash,Success,12.65
P00000760,B00000842,Mastercard,Success,32.18
P00000762,B00000844,Cash,Success,29.84
P00000764,B00000846,Visa,Success,44.38
P00000769,B00000851,Paynow,Success,22.49
P00000770,B00000852,Paynow,Success,22.7
P00000773,B00000855,Mastercard,Success,69.98
P00000777,B00000859,Mastercard,Success,38.95
P00000779,B00000863,Visa,Success,32.24
P00000781,B00000865,Mastercard,Failed,42.65
P00000783,B00000867,Mastercard,Refunded,19.15
P00000785,B00000869,Cash,Success,28.94
P00000787,B00000871,Cash,Success,25.1
P00000789,B00000873,Cash,Success,36.46
P00000790,B00000874,Visa,Success,27.13
P00000793,B00000877,Paynow,Success,64.87
P00000795,B00000879,Paynow,Success,36.43
P00000796,B00000881,Visa,Success,29.28
P00000799,B00000884,Mastercard,Success,16.81
P00000801,B00000886,Mastercard,Success,34.11
P00000802,B00000887,Paynow,Success,46.2
P00000803,B00000888,Mastercard,Success,34.43
P00000808,B00000893,Cash,Success,40.81
P00000809,B00000894,Mastercard,Success,42.48
P00000812,B00000897,Visa,Success,33.86
P00000815,B00000900,Mastercard,Success,22.99
P00000816,B00000901,Cash,Success,30.82
P00000817,B00000902,Mastercard,Success,43.69
P00000818,B00000903,Cash,Success,41.45
P00000822,B00000908,Paynow,Success,42.68
P00000823,B00000909,Paynow,Failed,34.87
P00000824,B00000910,Visa,Success,36.66
P00000828,B00000914,Visa,Success,35.06
P00000831,B00000917,Visa,Success,47.16
P00000832,B00000918,Visa,Success,31.43
P00000835,B00000921,Paynow,Success,19.99
P00000837,B00000923,Visa,Success,15.48
P00000838,B00000924,Mastercard,Success,13.42
P00000841,B00000927,Visa,Success,24.74
P00000842,B00000928,Mastercard,Success,48.87
P00000846,B00000932,Visa,Success,68.33
P00000847,B00000933,Paynow,Success,9.89
P00000848,B00000934,Mastercard,Success,25.44
P00000850,B00000936,Mastercard,Success,46.7
P00000851,B00000938,Cash,Success,30.94
P00000852,B00000939,Cash,Success,9.89
P00000853,B00000940,Visa,Success,53.28
P00000854,B00000941,Mastercard,Success,46.28
P00000855,B00000942,Cash,Success,29.83
P00000856,B00000943,Cash,Failed,10.08
P00000857,B00000944,Visa,Success,37.53
P00000858,B00000945,Visa,Success,37.9
P00000859,B00000948,Visa,Success,13.54
P00000863,B00000952,Visa,Success,21.95
P00000865,B00000954,Cash,Success,36.38
P00000866,B00000955,Visa,Success,35.33
P00000867,B00000957,Cash,Success,15.74
P00000871,B00000962,Cash,Success,29.02
P00000873,B00000964,Paynow,Success,43.27
P00000874,B00000965,Cash,Success,32.68
P00000878,B00000970,Paynow,Success,32.51
P00000879,B00000971,Mastercard,Success,34.7
P00000880,B00000973,Visa,Failed,55.73
P00000882,B00000975,Cash,Success,41.26
P00000885,B00000978,Paynow,Success,34.25
P00000886,B00000979,Mastercard,Success,19.9
P00000891,B00000985,Cash,Success,5.78
P00000892,B00000987,Cash,Success,41.07
P00000893,B00000988,Visa,Success,35.64
P00000894,B00000991,Mastercard,Failed,12.0
P00000897,B00000994,Paynow,Success,32.99
P00000898,B00000995,Mastercard,Success,32.83
P00000899,B00000997,Cash,Success,36.89
P00000900,B00000998,Visa,Success,13.81
P00000901,B00000999,Cash,Success,46.76
P00000904,B00001003,Visa,Success,24.74
P00000905,B00001004,Visa,Success,53.33
P00000906,B00001005,Visa,Success,28.2
P00000907,B00001006,Cash,Success,46.75
P00000908,B00001007,Mastercard,Success,33.62
P00000909,B00001008,Paynow,Success,73.58
P00000912,B00001011,Paynow,Success,22.68
P00000913,B00001012,Paynow,Success,49.75
P00000915,B00001015,Visa,Success,31.73
P00000916,B00001017,Paynow,Success,33.3
P00000919,B00001020,Cash,Success,38.46
P00000920,B00001021,Visa,Success,47.41
P00000922,B00001023,Mastercard,Success,46.54
P00000924,B00001025,Mastercard,Failed,38.64
P00000929,B00001030,Visa,Success,70.44
P00000930,B00001031,Visa,Success,23.3
P00000931,B00001032,Mastercard,Success,27.91
P00000932,B00001033,Cash,Success,61.58
P00000933,B00001034,Cash,Success,58.9
P00000936,B00001037,Paynow,Success,36.0
P00000939,B00001040,Cash,Success,17.35
P00000942,B00001043,Cash,Success,70.56
P00000944,B00001045,Paynow,Success,16.58
P00000948,B00001049,Visa,Success,13.25
P00000950,B00001051,Mastercard,Success,66.29
P00000952,B00001054,Visa,Success,53.19
P00000953,B00001055,Cash,Failed,38.14
P00000954,B00001056,Visa,Success,35.57
P00000955,B00001057,Visa,Success,19.3
P00000957,B00001059,Paynow,Success,21.2
P00000958,B00001060,Visa,Failed,34.47
P00000959,B00001061,Cash,Success,35.84
P00000960,B00001062,Paynow,Success,41.67
P00000962,B00001064,Cash,Success,11.78
P00000963,B00001065,Visa,Success,5.5
P00000964,B00001066,Paynow,Success,61.32
P00000965,B00001067,Cash,Success,41.37
P00000968,B00001070,Cash,Success,6.47
P00000971,B00001073,Mastercard,Success,11.09
P00000973,B00001075,Mastercard,Success,18.27
P00000975,B00001077,Paynow,Success,25.22
P00000976,B00001078,Visa,Success,37.84
P00000978,B00001080,Visa,Success,12.71
P00000980,B00001082,Mastercard,Success,11.25
P00000982,B00001084,Visa,Success,49.61
P00000986,B00001088,Paynow,Success,32.59
P00000988,B00001090,Paynow,Success,18.18
P00000994,B00001096,Paynow,Success,28.11
P00001000,B00001102,Visa,Success,7.06
P00001002,B00001104,Mastercard,Success,48.33
P00001003,B00001105,Mastercard,Success,17.24
P00001004,B00001106,Mastercard,Success,20.74
P00001005,B00001107,Cash,Success,45.6
P00001006,B00001108,Paynow,Success,39.96
P00001007,B00001109,Mastercard,Success,62.11
P00001008,B00001110,Visa,Success,29.05
P00001009,B00001111,Mastercard,Success,17.66
P00001010,B00001112,Visa,Success,56.95
P00001011,B00001113,Paynow,Failed,12.08
P00001013,B00001115,Visa,Success,19.93
P00001014,B00001116,Visa,Success,17.28
P00001016,B00001119,Cash,Success,23.54
P00001018,B00001121,Mastercard,Success,40.54
P00001020,B00001123,Visa,Success,36.71
P00001024,B00001128,Paynow,Success,55.87
P00001025,B00001129,Paynow,Success,55.85
P00001027,B00001131,Cash,Success,49.41
P00001029,B00001133,Cash,Success,17.26
P00001034,B00001141,Paynow,Success,15.55
P00001041,B00001148,Visa,Success,54.77
P00001042,B00001149,Mastercard,Success,10.35
P00001044,B00001151,Mastercard,Success,24.57
P00001046,B00001153,Mastercard,Success,20.44
P00001048,B00001155,Visa,Success,65.16
P00001049,B00001156,Mastercard,Success,6.56
P00001050,B00001157,Mastercard,Failed,7.18
P00001052,B00001159,Visa,Success,24.58
P00001054,B00001161,Cash,Success,19.78
P00001064,B00001172,Cash,Success,32.65
P00001066,B00001174,Mastercard,Success,7.38
P00001069,B00001179,Cash,Success,24.43
P00001071,B00001182,Cash,Success,15.35
P00001072,B00001183,Mastercard,Success,54.31
P00001074,B00001185,Mastercard,Success,32.99
P00001075,B00001186,Paynow,Success,15.37
P00001076,B00001187,Cash,Success,39.17
P00001077,B00001188,Paynow,Success,33.46
P00001080,B00001192,Visa,Success,18.78
P00001082,B00001194,Paynow,Success,19.46
P00001083,B00001195,Mastercard,Success,44.28
P00001086,B00001199,Mastercard,Success,18.45
P00001087,B00001200,Paynow,Success,13.64
P00001089,B00001202,Mastercard,Success,45.79
P00001092,B00001205,Visa,Success,31.66
P00001093,B00001206,Mastercard,Success,11.28
P00001095,B00001208,Visa,Success,21.46
P00001098,B00001212,Paynow,Success,65.02
P00001101,B00001215,Paynow,Success,74.02
P00001106,B00001220,Paynow,Success,33.12
P00001111,B00001226,Cash,Success,13.46
P00001113,B00001228,Cash,Success,8.03
P00001115,B00001230,Visa,Success,17.31
P00001117,B00001232,Visa,Success,28.21
P00001120,B00001236,Cash,Success,60.94
P00001122,B00001238,Paynow,Success,38.79
P00001124,B00001240,Paynow,Success,29.02
P00001126,B00001242,Mastercard,Success,20.54
P00001127,B00001243,Paynow,Success,19.24
P00001128,B00001244,Paynow,Success,48.87
P00001129,B00001245,Cash,Success,40.13
P00001130,B00001247,Visa,Success,33.01
P00001131,B00001248,Visa,Success,67.56
P00001134,B00001252,Paynow,Success,28.39
P00001135,B00001253,Paynow,Success,55.01
P00001136,B00001254,Mastercard,Success,33.0
P00001137,B00001255,Mastercard,Success,41.23
P00001140,B00001258,Paynow,Success,27.1
P00001142,B00001260,Cash,Success,6.59
P00001149,B00001267,Mastercard,Success,13.03
P00001151,B00001269,Mastercard,Success,29.36
P00001152,B00001270,Visa,Success,35.74
P00001153,B00001271,Visa,Success,12.23
P00001155,B00001273,Visa,Success,33.93
P00001158,B00001276,Paynow,Success,56.39
P00001160,B00001278,Cash,Success,20.04
P00001161,B00001279,Cash,Success,49.08
P00001162,B00001280,Mastercard,Success,9.47
P00001164,B00001283,Paynow,Success,47.43
P00001171,B00001292,Cash,Success,39.5
P00001172,B00001293,Paynow,Success,19.81
P00001173,B00001294,Cash,Failed,41.03
P00001174,B00001295,Paynow,Success,19.4
P00001175,B00001296,Visa,Success,32.08
P00001176,B00001297,Visa,Success,26.15
P00001177,B00001298,Paynow,Success,45.79
P00001179,B00001300,Visa,Success,40.57
P00001180,B00001301,Mastercard,Success,34.04
P00001184,B00001305,Cash,Success,16.75
P00001185,B00001306,Visa,Success,32.29
P00001189,B00001311,Visa,Success,39.0
P00001190,B00001312,Visa,Success,22.81
P00001193,B00001315,Visa,Success,39.6
P00001194,B00001316,Cash,Success,34.98
P00001197,B00001320,Mastercard,Success,11.46
P00001198,B00001321,Paynow,Success,15.49
P00001199,B00001322,Visa,Success,57.1
P00001200,B00001323,Paynow,Success,16.32
P00001201,B00001324,Paynow,Success,49.97
P00001203,B00001326,Paynow,Success,45.14
P00001204,B00001328,Paynow,Success,26.3
P00001205,B00001329,Paynow,Success,37.93
P00001206,B00001330,Cash,Success,14.32
P00001207,B00001331,Paynow,Success,15.71
P00001211,B00001335,Mastercard,Success,31.01
P00001212,B00001336,Paynow,Success,14.08
P00001215,B00001340,Cash,Success,21.67
P00001216,B00001341,Paynow,Success,30.84
P00001218,B00001343,Cash,Success,11.06
P00001219,B00001344,Mastercard,Success,14.67
P00001220,B00001345,Cash,Success,34.1
P00001221,B00001347,Cash,Success,15.04
P00001223,B00001349,Paynow,Success,29.16
P00001225,B00001351,Mastercard,Success,11.02
P00001229,B00001355,Cash,Success,16.85
P00001230,B00001356,Mastercard,Success,14.02
P00001231,B00001357,Mastercard,Success,44.48
P00001232,B00001358,Cash,Success,25.63
P00001233,B00001359,Cash,Success,41.93
P00001235,B00001361,Cash,Success,32.0
P00001241,B00001368,Cash,Success,14.3
P00001242,B00001369,Mastercard,Success,44.71
P00001244,B00001371,Cash,Success,28.82
P00001246,B00001373,Paynow,Success,34.16
P00001250,B00001377,Mastercard,Success,26.28
P00001251,B00001378,Visa,Success,75.26
P00001252,B00001379,Cash,Success,36.32
P00001253,B00001380,Paynow,Success,27.84
P00001255,B00001382,Cash,Success,77.47
P00001256,B00001383,Mastercard,Success,49.55
P00001258,B00001386,Mastercard,Success,29.24
P00001259,B00001387,Cash,Success,34.46
P00001260,B00001388,Visa,Success,59.35
P00001261,B00001389,Visa,Success,24.5
P00001263,B00001391,Cash,Success,29.56
P00001268,B00001396,Cash,Success,34.64
P00001271,B00001400,Visa,Success,30.11
P00001272,B00001401,Mastercard,Success,35.11
P00001273,B00001402,Visa,Success,30.92
P00001277,B00001407,Mastercard,Success,46.44
P00001279,B00001409,Visa,Success,56.47
