payment_id,booking_id,payment_method,payment_status,amount
P00000223,B00000253,PayNow,Success,45.95
P00000224,B00000254,PayNow,Success,30.06
P00000225,B00000255,PayNow,Success,16.58
P00000227,B00000257,Cash,Success,20.48
P00000228,B00000258,Cash,Success,5.46
P00000229,B00000259,PayNow,Success,58.01
P00000230,B00000260,Mastercard,Success,60.46
P00000236,B00000268,Cash,Success,12.35
P00000243,B00000276,Mastercard,Success,51.82
P00000244,B00000277,PayNow,Success,11.23
P00000246,B00000279,PayNow,Success,19.69
P00000247,B00000280,PayNow,Success,73.68
P00000248,B00000281,PayNow,Success,36.18
P00000251,B00000284,Visa,Success,53.78
P00000253,B00000286,Visa,Success,29.59
P00000255,B00000288,Cash,Success,16.43
P00000257,B00000290,Mastercard,Success,39.77
P00000259,B00000292,Cash,Failed,46.08
P00000262,B00000295,PayNow,Success,8.84
P00000265,B00000298,Mastercard,Success,55.53
P00000266,B00000299,PayNow,Success,35.05
P00000269,B00000302,Cash,Success,20.98
P00000270,B00000303,Visa,Success,44.48
P00000275,B00000308,Mastercard,Success,43.36
P00000276,B00000309,Mastercard,Success,50.08
P00000278,B00000311,Mastercard,Success,55.46
P00000279,B00000312,Cash,Success,13.19
P00000280,B00000314,PayNow,Success,28.77
P00000281,B00000315,Cash,Refunded,58.16
P00000282,B00000316,Cash,Success,58.05
P00000283,B00000318,PayNow,Success,19.8
P00000284,B00000319,Cash,Success,13.43
P00000285,B00000320,Visa,Success,74.93
P00000287,B00000322,PayNow,Success,18.96
P00000288,B00000323,Visa,Success,23.21
P00000289,B00000324,Mastercard,Success,36.05
P00000290,B00000325,Mastercard,Success,15.68
P00000295,B00000331,Cash,Success,13.73
P00000296,B00000332,Mastercard,Success,27.9
P00000298,B00000334,Visa,Success,31.7
P00000300,B00000337,PayNow,Success,32.21
P00000304,B00000341,Cash,Failed,16.95
P00000305,B00000342,Cash,Success,21.84
P00000306,B00000343,Cash,Success,29.33
P00000307,B00000344,PayNow,Success,56.81
P00000308,B00000345,Cash,Success,37.99
P00000309,B00000346,Mastercard,Success,51.05
P00000311,B00000348,Cash,Success,28.86
P00000316,B00000353,Visa,Success,30.58
P00000317,B00000354,Visa,Success,58.34
P00000319,B00000356,Cash,Success,38.33
P00000320,B00000357,PayNow,Success,39.74
P00000321,B00000359,Visa,Success,58.39
P00000323,B00000361,PayNow,Success,8.48
P00000325,B00000363,Visa,Success,34.2
P00000326,B00000365,Mastercard,Success,74.71
P00000329,B00000369,Mastercard,Success,27.27
P00000330,B00000370,Visa,Success,40.34
P00000331,B00000371,PayNow,Success,13.55
P00000333,B00000373,Mastercard,Success,29.16
P00000334,B00000374,PayNow,Success,32.21
P00000335,B00000376,Visa,Success,12.56
P00000336,B00000377,Visa,Success,60.82
P00000338,B00000380,Mastercard,Success,25.02
P00000340,B00000382,Mastercard,Success,35.08
P00000341,B00000383,PayNow,Success,22.61
P00000344,B00000386,PayNow,Success,43.17
P00000348,B00000390,PayNow,Success,45.09
P00000351,B00000393,Mastercard,Success,11.64
P00000352,B00000394,Cash,Success,42.13
P00000355,B00000397,Mastercard,Success,31.93
P00000357,B00000400,Cash,Success,17.24
P00000363,B00000407,Visa,Failed,76.49
P00000365,B00000409,Cash,Success,43.87
P00000366,B00000410,Mastercard,Success,34.3
P00000367,B00000411,Cash,Success,32.63
P00000369,B00000414,PayNow,Success,36.04
P00000370,B00000415,PayNow,Success,12.11
P00000371,B00000417,PayNow,Success,73.06
P00000374,B00000420,Mastercard,Success,55.31
P00000377,B00000423,Mastercard,Success,72.82
P00000378,B00000424,Visa,Success,48.02
P00000379,B00000425,Cash,Success,17.98
P00000382,B00000429,Cash,Success,54.22
P00000385,B00000432,Visa,Success,52.92
P00000386,B00000433,PayNow,Success,8.53
P00000387,B00000434,Mastercard,Success,36.96
P00000391,B00000438,PayNow,Success,61.82
P00000392,B00000439,Mastercard,Success,28.64
P00000394,B00000441,PayNow,Success,18.7
P00000396,B00000443,PayNow,Success,35.9
P00000398,B00000445,Visa,Success,23.2
P00000399,B00000446,Mastercard,Success,24.47
P00000400,B00000448,PayNow,Success,16.5
P00000401,B00000449,Visa,Success,6.4
P00000405,B00000453,PayNow,Success,21.22
P00000406,B00000454,Mastercard,Success,36.23
P00000408,B00000456,Mastercard,Success,64.06
P00000410,B00000458,Cash,Success,17.51
P00000413,B00000461,Visa,Success,33.52
P00000415,B00000464,PayNow,Success,12.53
P00000417,B00000466,Visa,Success,24.31
P00000418,B00000467,Visa,Success,34.18
P00000419,B00000469,Visa,Success,28.61
P00000420,B00000470,Visa,Success,12.67
P00000424,B00000474,PayNow,Success,11.88
P00000425,B00000475,PayNow,Success,55.3
P00000426,B00000478,Visa,Success,45.17
P00000427,B00000479,PayNow,Success,49.18
P00000428,B00000480,Cash,Success,36.31
P00000437,B00000491,Cash,Success,15.0
P00000438,B00000493,Cash,Success,17.82
P00000444,B00000500,Mastercard,Success,63.34
P00000445,B00000501,Visa,Success,32.05
P00000446,B00000502,Cash,Failed,7.63
P00000448,B00000504,Cash,Success,52.78
P00000449,B00000505,Mastercard,Success,55.71
P00000450,B00000506,Visa,Success,72.55
P00000452,B00000508,Mastercard,Success,51.98
P00000453,B00000509,PayNow,Success,40.9
P00000457,B00000513,PayNow,Success,14.0
P00000458,B00000514,Cash,Success,73.3
P00000459,B00000515,Cash,Failed,9.82
P00000462,B00000520,Mastercard,Success,20.18
P00000464,B00000522,Mastercard,Success,64.27
P00000466,B00000524,Mastercard,Success,26.09
P00000467,B00000525,PayNow,Success,17.98
P00000468,B00000526,Cash,Success,45.35
P00000471,B00000529,Visa,Success,16.92
P00000472,B00000530,PayNow,Success,23.24
P00000476,B00000534,Mastercard,Success,37.63
P00000477,B00000535,Cash,Success,16.42
P00000478,B00000536,Visa,Success,15.58
P00000479,B00000537,Visa,Success,37.57
P00000480,B00000538,Visa,Success,25.78
P00000481,B00000540,Mastercard,Success,29.14
P00000483,B00000542,Visa,Success,14.02
P00000485,B00000544,PayNow,Failed,33.67
P00000487,B00000546,Cash,Success,45.5
P00000489,B00000548,Mastercard,Success,62.16
P00000490,B00000549,Cash,Success,50.71
P00000491,B00000550,PayNow,Failed,42.57
P00000493,B00000552,Visa,Success,47.9
P00000497,B00000557,PayNow,Success,39.58
P00000501,B00000561,Mastercard,Success,29.7
P00000502,B00000562,Cash,Success,21.6
P00000506,B00000567,Mastercard,Success,26.96
P00000509,B00000571,Cash,Success,25.97
P00000510,B00000572,PayNow,Success,24.77
P00000511,B00000573,Cash,Success,13.39
P00000514,B00000576,Cash,Success,22.63
P00000518,B00000581,Mastercard,Success,27.49
P00000521,B00000584,Mastercard,Success,28.3
P00000522,B00000585,Mastercard,Success,12.77
P00000527,B00000591,PayNow,Success,27.98
P00000529,B00000594,Mastercard,Success,22.16
P00000531,B00000596,Cash,Success,56.83
P00000536,B00000601,Mastercard,Success,26.6
P00000537,B00000602,PayNow,Success,46.73
P00000541,B00000606,PayNow,Success,21.46
P00000544,B00000609,Visa,Success,35.56
P00000545,B00000610,Visa,Success,57.87
P00000547,B00000612,Mastercard,Success,15.09
P00000548,B00000613,Mastercard,Success,21.02
P00000550,B00000616,Visa,Success,50.15
P00000552,B00000618,Visa,Success,14.64
P00000553,B00000619,Mastercard,Success,28.37
P00000554,B00000620,Mastercard,Success,39.5
P00000557,B00000624,Visa,Success,76.08
P00000559,B00000626,Visa,Success,14.69
P00000560,B00000627,Cash,Success,28.19
P00000562,B00000629,Cash,Success,24.17
P00000566,B00000634,Mastercard,Success,50.9
P00000567,B00000635,PayNow,Success,18.0
P00000569,B00000638,Mastercard,Success,17.6
P00000570,B00000639,Mastercard,Success,18.78
P00000571,B00000640,Cash,Success,24.19
P00000573,B00000642,Visa,Success,60.38
P00000574,B00000643,Cash,Success,23.9
P00000576,B00000645,Visa,Success,7.12
P00000577,B00000646,Mastercard,Success,46.54
P00000579,B00000648,PayNow,Failed,17.17
P00000582,B00000651,Mastercard,Success,28.98
P00000583,B00000652,Cash,Success,31.22
P00000584,B00000654,Mastercard,Success,48.0
P00000585,B00000655,PayNow,Success,21.37
P00000586,B00000656,Mastercard,Success,25.56
P00000588,B00000658,Cash,Success,14.56
P00000589,B00000660,Visa,Success,28.9
P00000590,B00000661,Cash,Success,26.09
P00000592,B00000663,Cash,Success,50.11
P00000595,B00000667,Visa,Success,34.78
P00000596,B00000668,Visa,Success,31.39
P00000601,B00000673,Mastercard,Success,30.96
P00000602,B00000674,Visa,Success,14.54
P00000603,B00000675,Cash,Success,74.11
P00000606,B00000678,PayNow,Success,20.26
P00000608,B00000680,Mastercard,Success,14.33
P00000610,B00000682,Cash,Success,38.71
P00000611,B00000683,PayNow,Success,33.34
P00000614,B00000686,Cash,Success,20.38
P00000616,B00000688,Mastercard,Success,11.65
P00000617,B00000689,PayNow,Success,42.82
P00000619,B00000691,Visa,Success,50.13
P00000620,B00000692,Visa,Success,19.58
P00000621,B00000693,PayNow,Success,55.58
P00000622,B00000694,Cash,Success,47.04
P00000623,B00000695,Mastercard,Success,12.43
P00000625,B00000697,Mastercard,Success,47.9
P00000626,B00000698,Cash,Success,37.06
P00000627,B00000699,Mastercard,Success,9.5
P00000628,B00000700,PayNow,Failed,36.47
P00000631,B00000703,Cash,Success,42.22
P00000633,B00000706,Mastercard,Success,11.21
P00000634,B00000707,Cash,Success,33.14
P00000635,B00000708,Visa,Failed,40.18
P00000640,B00000713,PayNow,Success,45.82
P00000642,B00000715,Mastercard,Success,10.42
P00000643,B00000716,Mastercard,Success,32.5
P00000647,B00000721,Mastercard,Success,16.46
P00000648,B00000722,Visa,Success,41.36
P00000649,B00000723,Cash,Success,20.07
P00000650,B00000724,Visa,Success,12.07
P00000651,B00000725,Cash,Success,21.9
P00000652,B00000726,PayNow,Success,25.63
P00000655,B00000729,Visa,Success,18.62
P00000658,B00000732,Cash,Success,29.88
P00000660,B00000734,Mastercard,Success,16.29
P00000661,B00000735,Cash,Success,15.31
P00000662,B00000736,Visa,Success,22.51
P00000664,B00000738,PayNow,Success,31.37
P00000667,B00000743,Cash,Success,26.12
P00000670,B00000746,Visa,Success,39.2
P00000671,B00000747,Mastercard,Success,39.22
P00000673,B00000749,PayNow,Success,12.44
P00000675,B00000751,Cash,Success,13.78
P00000676,B00000752,Cash,Success,29.78
P00000678,B00000754,PayNow,Success,40.49
P00000681,B00000759,Mastercard,Success,44.89
P00000682,B00000760,Cash,Success,46.92
P00000685,B00000764,Mastercard,Success,48.29
P00000687,B00000766,Visa,Success,57.19
P00000688,B00000768,PayNow,Success,29.3
P00000689,B00000769,Cash,Success,27.24
P00000690,B00000772,Cash,Success,17.93
P00000694,B00000779,Visa,Success,50.69
P00000698,B00000783,Cash,Success,59.3
P00000699,B00000784,PayNow,Success,40.42
P00000704,B00000790,Cash,Success,26.5
P00000705,B00000791,Mastercard,Success,34.4
P00000707,B00000793,Visa,Success,35.65
P00000708,B00000794,Visa,Success,75.62
P00000709,B00000795,Mastercard,Success,47.0
P00000711,B00000797,Cash,Success,64.66
P00000712,B00000798,PayNow,Success,30.97
P00000713,B00000799,Cash,Success,30.22
P00000719,B00000806,Visa,Success,50.87
P00000721,B00000808,Cash,Success,60.26
P00000722,B00000809,PayNow,Success,37.88
P00000724,B00000811,Cash,Success,28.8
P00000725,B00000812,Cash,Success,30.84
P00000726,B00000813,PayNow,Success,43.11
P00000727,B00000814,PayNow,Success,18.22
P00000730,B00000818,Visa,Success,30.91
P00000732,B00000822,PayNow,Success,7.92
P00000735,B00000825,Mastercard,Success,20.18
P00000736,B00000827,Mastercard,Refunded,64.9
P00000739,B00000830,Visa,Success,38.29
P00000742,B00000833,Cash,Success,19.18
P00000749,B00000842,Visa,Success,32.13
P00000752,B00000845,Mastercard,Success,18.84
P00000755,B00000848,Mastercard,Success,33.14
P00000758,B00000851,Mastercard,Success,25.3
P00000759,B00000852,PayNow,Success,12.76
P00000760,B00000853,Visa,Success,21.89
P00000762,B00000855,PayNow,Success,26.88
P00000764,B00000857,Mastercard,Success,46.78
P00000769,B00000862,PayNow,Success,36.62
P00000770,B00000863,Visa,Success,34.27
P00000773,B00000866,Mastercard,Success,31.34
P00000777,B00000871,PayNow,Success,33.08
P00000779,B00000874,Visa,Success,34.38
P00000781,B00000877,Visa,Success,14.9
P00000783,B00000879,Mastercard,Success,11.58
P00000785,B00000881,Cash,Success,11.76
P00000787,B00000884,Visa,Success,17.93
P00000789,B00000887,PayNow,Success,44.41
P00000790,B00000890,Visa,Success,11.07
P00000793,B00000894,Cash,Success,18.22
P00000795,B00000896,Cash,Success,43.33
P00000796,B00000897,Cash,Success,8.57
P00000799,B00000900,Mastercard,Success,49.22
P00000801,B00000902,Mastercard,Success,17.57
P00000802,B00000903,PayNow,Failed,45.79
P00000803,B00000905,Mastercard,Success,31.76
P00000808,B00000910,Cash,Success,26.03
P00000809,B00000911,Cash,Success,74.16
P00000812,B00000915,Cash,Success,48.96
P00000815,B00000918,Cash,Success,15.6
P00000816,B00000919,Cash,Success,37.18
P00000817,B00000920,Visa,Success,29.51
P00000818,B00000922,Cash,Success,25.7
P00000822,B00000928,PayNow,Success,38.65
P00000823,B00000929,PayNow,Success,30.54
P00000824,B00000930,PayNow,Success,48.26
P00000828,B00000936,Visa,Success,15.91
P00000831,B00000939,Cash,Success,43.4
P00000832,B00000940,PayNow,Refunded,45.13
P00000835,B00000943,Mastercard,Success,60.43
P00000837,B00000945,Visa,Success,67.73
P00000838,B00000946,PayNow,Success,49.37
P00000841,B00000949,Visa,Success,10.04
P00000842,B00000950,Mastercard,Success,49.7
P00000846,B00000954,Visa,Success,24.11
P00000847,B00000955,Visa,Success,9.68
P00000848,B00000956,Visa,Success,40.39
P00000850,B00000959,Cash,Failed,19.91
P00000851,B00000960,Cash,Success,21.92
P00000852,B00000961,Visa,Success,12.31
P00000853,B00000962,PayNow,Success,19.8
P00000854,B00000964,Mastercard,Success,13.66
P00000855,B00000965,Visa,Success,33.59
P00000856,B00000966,Visa,Success,22.13
P00000857,B00000967,Cash,Success,15.7
P00000858,B00000968,Cash,Success,50.42
P00000859,B00000969,Cash,Success,65.18
P00000863,B00000973,Visa,Success,57.85
P00000865,B00000975,Mastercard,Success,23.0
P00000866,B00000976,Visa,Success,44.96
P00000867,B00000977,Cash,Success,26.02
P00000871,B00000981,Visa,Success,14.76
P00000873,B00000983,PayNow,Success,46.75
P00000874,B00000984,Mastercard,Success,20.15
P00000878,B00000988,Cash,Success,27.86
P00000879,B00000989,Visa,Success,22.54
P00000880,B00000990,Cash,Success,18.38
P00000882,B00000992,PayNow,Success,30.4
P00000885,B00000995,Mastercard,Success,24.53
P00000886,B00000996,Visa,Success,13.15
P00000891,B00001001,Mastercard,Success,32.57
P00000892,B00001002,Mastercard,Failed,55.06
P00000893,B00001003,Cash,Success,18.85
P00000894,B00001004,Mastercard,Success,39.5
P00000897,B00001008,Mastercard,Success,64.97
P00000898,B00001009,Mastercard,Success,50.74
P00000899,B00001010,Cash,Success,13.62
P00000900,B00001011,Mastercard,Success,33.7
P00000901,B00001012,PayNow,Success,29.66
P00000904,B00001016,Visa,Success,46.71
P00000905,B00001017,Mastercard,Success,7.25
P00000906,B00001018,Mastercard,Refunded,60.1
P00000907,B00001019,PayNow,Success,37.55
P00000908,B00001020,Cash,Success,11.41
P00000909,B00001021,Visa,Success,31.97
P00000912,B00001027,Mastercard,Success,18.05
P00000913,B00001028,Cash,Success,29.32
P00000915,B00001030,Visa,Success,17.82
P00000916,B00001031,Cash,Success,55.73
P00000919,B00001034,PayNow,Success,15.53
P00000920,B00001035,Mastercard,Success,55.8
P00000922,B00001038,Visa,Success,43.61
P00000924,B00001041,PayNow,Success,15.07
P00000929,B00001046,Cash,Success,20.95
P00000930,B00001047,Cash,Success,23.95
P00000931,B00001048,PayNow,Success,30.6
P00000932,B00001049,PayNow,Failed,59.78
P00000933,B00001050,PayNow,Success,26.95
P00000936,B00001053,Cash,Success,21.2
P00000939,B00001057,Cash,Success,14.92
P00000942,B00001060,Cash,Success,66.22
P00000944,B00001062,Visa,Success,43.06
P00000948,B00001066,Mastercard,Success,16.2
P00000950,B00001069,Cash,Success,25.49
P00000952,B00001071,Cash,Success,35.28
P00000953,B00001072,Visa,Success,10.33
P00000954,B00001073,PayNow,Success,14.8
P00000955,B00001074,PayNow,Success,7.11
P00000957,B00001076,PayNow,Success,8.41
P00000958,B00001077,PayNow,Success,23.33
P00000959,B00001078,Mastercard,Success,8.71
P00000960,B00001079,PayNow,Success,8.65
P00000962,B00001081,Cash,Success,48.89
P00000963,B00001083,Mastercard,Success,35.76
P00000964,B00001085,PayNow,Success,26.31
P00000965,B00001088,Visa,Success,29.89
P00000968,B00001091,PayNow,Success,49.18
P00000971,B00001094,Visa,Success,6.65
P00000973,B00001096,Cash,Success,29.71
P00000975,B00001098,Cash,Success,20.88
P00000976,B00001099,Mastercard,Success,29.25
P00000978,B00001101,PayNow,Success,16.98
P00000980,B00001103,Cash,Success,24.41
P00000982,B00001105,Visa,Success,29.76
P00000986,B00001112,PayNow,Success,15.75
P00000988,B00001114,Visa,Success,13.06
P00000994,B00001120,Visa,Success,27.92
P00001000,B00001128,Cash,Success,22.14
P00001002,B00001130,Mastercard,Success,38.82
P00001003,B00001131,PayNow,Success,11.4
P00001004,B00001132,PayNow,Success,22.12
P00001005,B00001133,PayNow,Success,51.12
P00001006,B00001134,PayNow,Success,48.58
P00001007,B00001135,Visa,Success,18.35
P00001008,B00001136,PayNow,Success,24.8
P00001009,B00001137,PayNow,Success,33.32
P00001010,B00001138,Mastercard,Success,33.22
P00001011,B00001139,Visa,Success,10.79
P00001013,B00001141,Cash,Success,38.14
P00001014,B00001142,Cash,Success,23.17
P00001016,B00001144,Cash,Success,32.64
P00001018,B00001146,Cash,Success,19.4
P00001020,B00001148,PayNow,Success,16.83
P00001024,B00001152,Visa,Success,59.45
P00001025,B00001153,Visa,Success,35.99
P00001027,B00001156,Mastercard,Success,50.71
P00001029,B00001158,Mastercard,Success,44.05
P00001034,B00001166,Visa,Success,32.14
P00001041,B00001173,Cash,Success,22.8
P00001042,B00001174,Visa,Success,52.56
P00001044,B00001176,PayNow,Success,38.95
P00001046,B00001178,Cash,Success,25.87
P00001048,B00001181,Cash,Success,55.21
P00001049,B00001182,Cash,Success,29.12
P00001050,B00001184,Visa,Success,8.89
P00001052,B00001186,Cash,Success,15.12
P00001054,B00001188,Cash,Success,38.11
P00001064,B00001200,Visa,Success,9.43
P00001066,B00001202,Visa,Success,75.5
P00001069,B00001205,Cash,Success,43.6
P00001071,B00001207,PayNow,Success,16.78
P00001072,B00001208,PayNow,Success,32.3
P00001074,B00001210,Cash,Success,13.98
P00001075,B00001211,Visa,Success,27.04
P00001076,B00001212,Visa,Success,75.89
P00001077,B00001213,Mastercard,Success,31.26
P00001080,B00001217,Cash,Success,30.53
P00001082,B00001219,PayNow,Success,18.0
P00001083,B00001220,Visa,Success,10.02
P00001086,B00001224,PayNow,Success,30.62
P00001087,B00001225,Cash,Success,42.55
P00001089,B00001228,Visa,Success,38.66
P00001092,B00001231,Visa,Success,23.99
P00001093,B00001233,Cash,Failed,19.07
P00001095,B00001235,PayNow,Success,52.81
P00001098,B00001238,Mastercard,Success,73.03
P00001101,B00001241,Visa,Success,20.66
P00001106,B00001246,Mastercard,Success,21.11
P00001111,B00001251,Visa,Success,31.8
P00001113,B00001253,PayNow,Success,43.46
P00001115,B00001255,Visa,Success,35.64
P00001117,B00001258,Mastercard,Success,38.94
P00001120,B00001261,Mastercard,Success,31.54
P00001122,B00001263,Visa,Success,60.36
P00001124,B00001265,Mastercard,Success,68.81
P00001126,B00001267,PayNow,Success,35.86
P00001127,B00001268,Mastercard,Success,7.0
P00001128,B00001270,Visa,Success,49.3
P00001129,B00001271,Cash,Success,41.0
P00001130,B00001272,Visa,Success,21.12
P00001131,B00001273,Visa,Success,7.98
P00001134,B00001276,PayNow,Success,50.4
P00001135,B00001277,PayNow,Success,13.62
P00001136,B00001278,Visa,Success,7.66
P00001137,B00001279,PayNow,Success,71.95
P00001140,B00001282,PayNow,Success,33.07
P00001142,B00001284,Mastercard,Success,22.09
P00001149,B00001294,PayNow,Success,77.9
P00001151,B00001296,Mastercard,Success,19.64
P00001152,B00001297,Cash,Success,40.56
P00001153,B00001298,Mastercard,Success,16.32
P00001155,B00001300,Visa,Success,14.5
P00001158,B00001303,PayNow,Success,48.77
P00001160,B00001305,Mastercard,Success,48.72
P00001161,B00001306,Cash,Success,24.94
P00001162,B00001307,Cash,Success,24.64
P00001164,B00001309,Mastercard,Success,24.28
P00001171,B00001317,Visa,Success,45.55
P00001172,B00001318,Cash,Success,41.74
P00001173,B00001320,Mastercard,Success,33.58
P00001174,B00001322,Visa,Success,41.07
P00001175,B00001323,Cash,Success,40.27
P00001176,B00001324,PayNow,Success,15.6
P00001177,B00001325,Cash,Success,15.08
P00001179,B00001327,Visa,Success,52.15
P00001180,B00001328,PayNow,Success,43.34
P00001184,B00001333,Mastercard,Success,32.15
P00001185,B00001334,PayNow,Success,17.02
P00001189,B00001338,Mastercard,Success,49.41
P00001190,B00001339,PayNow,Refunded,19.37
P00001193,B00001343,Mastercard,Success,13.16
P00001194,B00001344,Mastercard,Success,7.19
P00001197,B00001347,Mastercard,Success,18.94
P00001198,B00001350,Visa,Success,16.69
P00001199,B00001351,PayNow,Success,12.78
P00001200,B00001352,Visa,Success,34.88
P00001201,B00001353,Mastercard,Success,16.03
P00001203,B00001355,PayNow,Success,12.25
P00001204,B00001356,Visa,Success,42.57
P00001205,B00001358,Visa,Success,33.56
P00001206,B00001360,Mastercard,Success,48.33
P00001207,B00001361,Visa,Success,6.85
P00001211,B00001365,Visa,Success,16.89
P00001212,B00001366,PayNow,Success,65.69
P00001215,B00001369,PayNow,Success,13.06
P00001216,B00001370,Visa,Success,42.48
P00001218,B00001372,Cash,Success,15.52
P00001219,B00001374,Visa,Success,47.45
P00001220,B00001375,PayNow,Success,5.95
P00001221,B00001376,Mastercard,Success,34.79
P00001223,B00001378,PayNow,Success,31.37
P00001225,B00001380,Cash,Success,30.56
P00001229,B00001385,Cash,Success,33.13
P00001230,B00001386,Cash,Success,11.5
P00001231,B00001387,Cash,Success,15.59
P00001232,B00001388,PayNow,Success,40.1
P00001233,B00001389,Cash,Success,43.85
P00001235,B00001391,PayNow,Success,13.34
P00001241,B00001397,Cash,Success,11.99
P00001242,B00001398,PayNow,Success,29.74
P00001244,B00001400,Visa,Success,25.55
P00001246,B00001402,PayNow,Success,5.46
P00001250,B00001406,Visa,Failed,40.14
P00001251,B00001407,Visa,Failed,20.59
P00001252,B00001409,Cash,Success,46.79
P00001253,B00001410,Visa,Success,16.49
P00001255,B00001412,Visa,Success,42.26
P00001256,B00001413,Cash,Success,29.84
P00001258,B00001415,Cash,Success,48.31
P00001259,B00001416,Mastercard,Success,30.05
P00001260,B00001417,PayNow,Success,14.86
P00001261,B00001418,PayNow,Success,14.4
P00001263,B00001420,PayNow,Success,60.98
P00001268,B00001425,Cash,Success,44.58
P00001271,B00001429,Visa,Success,11.81
P00001272,B00001430,Cash,Success,21.41
P00001273,B00001431,Mastercard,Success,28.4
P00001277,B00001435,PayNow,Success,11.45
