driver_id,total_trips,total_revenue,average_rating
D09054,17,529.83,2.0
D02535,18,529.3800000000001,3.5
D02955,17,529.06,3.0
D02278,17,529.0100000000001,3.5555555555555554
D03017,16,528.6800000000001,3.5555555555555554
D07603,17,528.3000000000001,4.0
D04314,13,528.25,3.6666666666666665
D00138,19,528.1800000000001,3.7142857142857144
D04166,15,528.15,3.0
D05677,13,528.12,3.1666666666666665
D04281,16,527.64,4.5
D09241,17,527.2900000000001,2.25
D05062,16,527.04,3.4285714285714284
D09155,16,526.75,3.25
D04473,18,526.45,3.857142857142857
D09670,15,526.4200000000001,3.0
D02925,15,526.3,3.75
D05133,14,526.1899999999999,2.0
D01338,17,526.04,2.5
D03523,15,524.6,3.125
D05394,14,524.12,3.0
D04055,20,523.8,2.6
D01957,12,522.3399999999999,3.3333333333333335
D02538,15,522.1700000000001,1.8571428571428572
D01124,11,522.05,2.3333333333333335
D03572,16,520.94,2.625
D00916,13,520.7800000000001,3.1666666666666665
D06250,16,520.4000000000001,4.0
D07274,16,520.3599999999999,3.25
D03552,16,520.31,3.5
D05531,14,520.25,2.4
D04775,14,519.86,4.0
D08182,18,519.5699999999999,3.4
D03220,17,519.5,3.5
D03976,15,519.42,3.2
D08925,18,519.07,3.0
D00611,16,518.89,3.6
D08627,17,518.7099999999999,1.4
D02247,18,518.6800000000001,2.2857142857142856
D02771,15,518.6700000000001,3.1666666666666665
D03678,15,518.12,4.0
D04384,17,517.56,3.125
D00967,14,517.0,2.3333333333333335
D09862,14,516.9300000000001,3.625
D09797,16,516.6,2.25
D07561,17,516.49,4.0
D07429,15,516.3900000000001,3.2
D07159,14,516.38,3.2857142857142856
D04957,14,516.1700000000001,2.1666666666666665
D05607,14,516.0500000000001,1.6666666666666667
D06976,16,515.59,3.0
D08371,13,515.41,3.125
D07012,17,514.73,3.5
D01456,16,514.53,3.3333333333333335
D04956,13,514.5,3.0
D09105,16,514.44,3.2857142857142856
D06557,14,514.17,3.3333333333333335
D01787,17,514.1500000000001,2.4285714285714284
D03879,21,514.1400000000001,3.3333333333333335
D00023,15,514.01,2.6666666666666665
D02248,15,513.88,2.5
D04399,15,513.85,3.25
D05153,17,513.5300000000001,3.2
D08629,14,512.9200000000001,2.2857142857142856
D04914,15,512.55,3.2
D00631,13,512.51,2.3333333333333335
D00393,12,512.02,2.6666666666666665
D04792,15,512.0,2.3333333333333335
D01469,12,511.21000000000004,4.0
D00335,17,511.15999999999997,3.8333333333333335
D01791,13,510.91999999999996,2.5
D07738,13,510.65000000000003,3.3333333333333335
D04271,16,510.6,3.0
D06541,13,510.09000000000003,3.0
D01176,16,509.96000000000004,3.0
D03333,15,509.72,2.857142857142857
D05251,16,509.09,2.5
D00725,16,508.31,2.5714285714285716
D06549,14,508.27,3.25
D06081,18,508.16999999999996,3.6666666666666665
D05984,13,507.97,2.6666666666666665
D00036,17,507.59,3.1666666666666665
D01696,19,507.32,2.25
D03584,16,507.24999999999994,1.6666666666666667
D04984,13,507.08,3.0
D05541,14,507.04999999999995,3.1666666666666665
D05305,13,506.93,2.4
D07277,15,506.43,3.0
D06582,15,506.07,3.0
D07872,16,505.83000000000004,2.0
D07186,13,505.74,4.25
D08789,13,505.5400000000001,3.75
D01997,13,505.47,2.5
D05979,15,505.46000000000004,4.0
D01836,13,505.24,3.0
D03752,15,505.18999999999994,2.8333333333333335
D01244,15,505.11,3.142857142857143
D08395,14,505.03999999999996,3.5
D00018,15,504.79999999999995,3.0
D08549,13,504.7800000000001,2.25
D04809,16,504.48,3.0
D09608,13,504.32,4.0
D04533,15,504.13999999999993,4.0
D07370,16,503.68,3.5555555555555554
D07668,14,503.63,4.25
D07585,19,503.50999999999993,3.4285714285714284
D03425,13,502.68999999999994,1.0
D02536,17,502.49,3.5
D08373,15,502.09,2.5
D05494,19,502.04999999999995,2.142857142857143
D07292,18,501.58,4.5
D04748,16,501.56999999999994,3.4
D06266,14,501.53000000000003,2.3333333333333335
D02930,17,501.14,4.5
D07468,16,500.99999999999994,2.8333333333333335
D02793,14,500.9700000000001,3.0
D08769,14,500.79999999999995,3.5714285714285716
D08657,16,500.38,4.2
D05899,16,500.34000000000003,2.75
D06880,15,500.32000000000005,2.6
D05915,15,499.96000000000004,3.5
D07132,15,499.81000000000006,3.25
D07294,14,499.69999999999993,2.2
D00432,12,499.44000000000005,4.0
D02124,13,499.42999999999995,2.8
D09469,15,499.39,2.5
D04088,17,499.25,3.2857142857142856
D07832,18,498.98,3.0
D03948,14,498.91999999999996,2.6
D08603,13,498.5799999999999,2.1666666666666665
D06611,17,498.5799999999999,3.1666666666666665
D04783,17,498.55000000000007,2.8
D02996,16,497.79999999999995,3.0
D03545,12,497.68999999999994,1.0
D06814,19,497.52,2.6666666666666665
D04614,16,497.36,3.8333333333333335
D05100,16,496.72,3.6
D07566,12,496.70000000000005,3.25
D07137,16,496.58000000000004,2.75
D01272,13,496.35,4.333333333333333
D09594,14,496.34,3.0
D06079,17,496.03,2.5
D00590,18,495.73999999999995,3.5
D08753,15,495.47,1.5
D02851,11,495.38000000000005,3.25
D05516,16,495.26,2.6666666666666665
D00688,15,495.21999999999997,3.1666666666666665
D07960,13,494.88000000000005,3.0
D01921,14,494.59999999999997,2.0
D06632,16,494.56000000000006,4.0
D01987,17,494.37,3.0
D04232,16,494.24,2.0
D04080,13,493.9699999999999,3.6
D06369,16,493.95000000000005,3.25
D02381,19,493.64000000000004,3.1666666666666665
D09516,15,493.52,2.4
D09177,13,493.5,2.0
D09852,16,493.30000000000007,3.7142857142857144
D08499,15,493.23999999999995,3.4285714285714284
D01538,13,493.14000000000004,3.25
D09044,16,493.12,3.8333333333333335
D09937,15,493.02,2.6
D05632,16,492.88,3.0
D04141,13,492.55,4.666666666666667
D00739,14,491.96000000000004,3.75
D08867,14,491.82,3.25
D01293,17,491.78999999999996,3.4444444444444446
D04763,12,491.6,1.3333333333333333
D05785,11,491.55999999999995,3.2
D06959,13,491.38,2.4
D07710,14,491.31,2.75
D08190,17,491.29999999999995,4.0
D09064,14,491.25,3.857142857142857
D00400,16,490.95,3.0
D05306,15,490.90999999999997,3.3333333333333335
D00680,18,490.54999999999995,4.0
D05997,16,490.54,1.6666666666666667
D08502,16,490.39000000000004,1.5
D01870,12,490.29999999999995,3.4
D01655,14,490.21000000000004,2.6666666666666665
D08728,15,490.15000000000003,3.0
D05561,14,490.03999999999996,3.2
D06996,14,489.79,3.0
D02669,17,489.44000000000005,2.8
D08849,14,489.21,3.25
D04298,15,488.16999999999996,3.8333333333333335
D00222,14,488.08000000000004,3.8
D02531,17,487.82000000000005,3.5714285714285716
D01514,14,486.90000000000003,2.8333333333333335
D02034,17,486.67,3.0
D07472,13,486.62,3.0
D05718,13,486.55,2.75
D04936,16,486.37,2.0
D00066,16,486.31999999999994,2.3333333333333335
D00729,17,486.13,4.0
D09002,16,485.94,2.6666666666666665
D09738,16,485.77000000000004,3.6
D01352,12,485.59000000000003,3.375
D00672,16,485.53000000000003,4.0
D09578,13,485.45,4.0
D03045,13,485.17,4.0
D04802,18,485.15999999999997,2.6
D06469,15,484.96999999999997,2.75
D06988,10,484.71999999999997,3.3333333333333335
D01911,17,484.31,3.6
D07956,14,484.30000000000007,4.0
D00068,16,484.28000000000003,3.0
D09816,14,484.28,4.0
D05775,12,484.09000000000003,1.0
D04961,12,483.52000000000004,3.0
D03996,16,483.44,3.125
D06974,16,483.34,2.25
D01680,16,483.15,4.4
D01157,14,482.98,3.25
D09073,14,482.9100000000001,4.6
D05971,15,482.04,2.8
D05691,17,481.96,3.25
D06322,15,481.89,3.4285714285714284
D07902,14,481.82000000000005,4.25
D00384,16,481.76,2.5
D09844,15,481.6400000000001,3.2
D03246,13,481.63,2.6
D03278,14,481.45,2.0
D01681,17,481.39,3.375
D01434,16,481.2300000000001,2.5
D08350,15,481.2299999999999,2.2
D06235,13,480.74,3.0
D01064,14,480.64,4.666666666666667
D06282,16,480.56999999999994,2.75
D05124,14,480.38,3.0
D04269,15,480.19,2.3333333333333335
D01034,16,480.18999999999994,3.0
D01598,12,480.18,2.5
D09455,14,480.1700000000001,3.6666666666666665
D07938,13,479.93,1.3333333333333333
D07823,11,479.61,3.0
D01590,14,479.54,3.0
D07052,14,479.46999999999997,3.75
D04126,17,479.44,3.6
D08480,16,479.29999999999995,3.6
D04358,14,479.18,2.8
D03626,13,479.0,3.0
D07021,13,478.98,2.0
D09786,15,478.96,2.75
D07476,12,478.93999999999994,2.75
D02254,16,478.93000000000006,3.4444444444444446
D09539,19,478.9,1.5
D03260,12,478.87,3.6666666666666665
D04639,14,478.82000000000005,3.2857142857142856
D05688,19,478.74,2.2
D08673,14,478.69999999999993,3.0
D04599,14,478.6,2.6666666666666665
D08723,12,478.10999999999996,3.0
D06547,14,478.05000000000007,3.142857142857143
D04107,13,477.92,3.75
D08565,12,477.75,3.0
D07174,15,477.73,1.6666666666666667
D07711,9,477.71999999999997,2.0
D01709,15,477.59000000000003,3.6666666666666665
D06072,15,477.58,3.25
D06806,13,477.55999999999995,1.6
D08568,15,477.48,3.5
D07107,19,477.46000000000004,2.6666666666666665
D06470,18,477.24999999999994,2.8
D08719,15,477.14000000000004,4.0
D08276,15,477.11,2.5
D03290,15,476.90999999999997,3.0
D01581,11,476.67,3.5
D02604,16,476.59999999999997,4.0
D08399,14,476.04,2.5
D03841,15,475.97,3.375
D00169,14,475.73,2.5
D08677,16,475.53000000000003,3.75
D07718,16,475.44000000000005,3.1666666666666665
D08366,16,475.31999999999994,4.0
D04542,11,475.14,3.0
D03689,12,474.93000000000006,3.6666666666666665
D07125,16,474.58000000000004,2.6666666666666665
D02464,13,474.55999999999995,4.0
D01214,13,474.51,2.8
D07278,12,474.21,5.0
D05772,13,473.98,3.8
D05716,16,473.80000000000007,3.0
D06699,14,473.7,3.4
D09282,15,473.68,3.3333333333333335
D04371,11,473.56,3.0
D00506,16,473.31000000000006,3.1666666666666665
D05706,14,473.27000000000004,3.3333333333333335
D09497,11,473.12,3.0
D06180,17,473.05000000000007,3.0
D06015,13,473.0,2.6
D07455,14,472.83000000000004,4.4
D03608,16,472.7,2.7142857142857144
D07064,16,472.66,2.5714285714285716
D01948,14,472.65000000000003,3.5
D04660,15,472.58,3.5
D04786,12,472.47,3.142857142857143
D04414,12,472.34000000000003,1.5
D08244,13,472.31000000000006,4.0
D00681,15,472.23999999999995,4.0
D01532,13,472.22999999999996,2.0
D08892,12,472.22,3.0
D01855,16,472.19000000000005,2.3333333333333335
D00580,11,472.04,2.0
D00125,18,471.36999999999995,2.375
D09045,18,471.3399999999999,4.125
D07172,13,471.33000000000004,3.0
D03656,19,471.1700000000001,2.75
D09158,15,471.0799999999999,3.125
D02618,18,471.03,2.0
D06136,16,470.91,2.7142857142857144
D09725,17,470.81999999999994,2.8
D00976,13,470.7799999999999,2.857142857142857
D03201,14,470.5799999999999,4.5
D02517,17,470.42999999999995,2.6
D09297,13,470.31999999999994,2.8333333333333335
D03821,16,470.28999999999996,3.5
D03786,14,470.28,3.5
D05178,14,470.03999999999996,2.4
D05418,13,469.99,3.0
D04966,14,469.9699999999999,2.25
D08481,16,469.94,2.6666666666666665
D05435,12,469.65000000000003,2.1666666666666665
D09710,15,469.63,3.2
D08810,14,469.43999999999994,3.4
D06297,16,469.31,3.25
D07501,16,469.14,2.8333333333333335
D04225,16,469.07,3.3333333333333335
D06217,14,468.9800000000001,2.5
D03939,18,468.9,2.1666666666666665
D00255,15,468.87,3.3333333333333335
D09667,15,468.85,2.2
D03479,13,468.81000000000006,3.0
D01205,13,468.51,3.142857142857143
D09961,17,468.45,2.1666666666666665
D07212,14,468.28,3.5
D07291,17,468.27,3.7142857142857144
D06283,15,468.21000000000004,2.857142857142857
D00989,13,468.04,3.6666666666666665
D06709,14,468.03000000000003,3.1666666666666665
D08891,14,468.03,3.6
D03975,16,467.99000000000007,3.4
D00158,14,467.62,2.6666666666666665
D01492,16,467.28999999999996,3.6
D08112,14,467.15000000000003,3.4
D00765,13,467.12,3.0
D01383,12,467.12,2.8
D06443,14,467.07000000000005,3.5
D01835,17,466.97999999999996,1.5
D00186,19,466.96999999999997,2.5
D05195,13,466.82,2.142857142857143
D01385,12,466.78999999999996,2.3333333333333335
D09066,13,466.49000000000007,2.0
D00615,13,466.48,3.0
D01554,14,466.40000000000003,2.0
D06249,17,466.25000000000006,2.7142857142857144
D01259,15,466.2,2.6666666666666665
D03277,12,465.95000000000005,4.5
D02446,12,465.95000000000005,4.166666666666667
D01278,12,465.84000000000003,4.0
D04417,17,465.75,2.5
D08777,13,465.74000000000007,3.3333333333333335
D04056,17,465.57,2.5
D09800,16,465.53,2.4285714285714284
D06775,15,465.3900000000001,2.6666666666666665
D02060,15,465.14,3.3333333333333335
D03683,14,465.12,3.0
D06562,14,465.1,2.75
D08124,14,464.95000000000005,3.0
D01560,15,464.91999999999996,3.5
D04834,15,464.80000000000007,3.6666666666666665
D04240,13,464.71999999999997,2.5
D01098,14,464.38000000000005,2.5
D03928,11,464.34999999999997,2.3333333333333335
D03617,16,464.29,2.8333333333333335
D01924,14,463.86,2.25
D04681,13,463.73,2.5
D05395,15,463.59000000000003,2.0
D07446,14,463.31999999999994,2.6
D00898,16,463.17999999999995,2.75
D08071,14,463.14,2.75
D03921,15,462.99,3.111111111111111
D04718,14,462.84,4.333333333333333
D06673,15,462.76,3.3333333333333335
D04929,12,462.75,1.5
D03049,13,462.43,3.0
D03959,14,462.30999999999995,2.6666666666666665
D09103,13,462.13999999999993,2.6666666666666665
D01281,13,462.07000000000005,1.5
D09151,15,461.74,2.6666666666666665
D04585,15,461.69000000000005,3.2
D04523,12,461.5,2.3333333333333335
D07980,15,461.27000000000004,4.0
D01656,13,461.1600000000001,1.6
D03114,11,461.12000000000006,5.0
D04657,17,461.09,2.6
D07487,14,461.08000000000004,3.25
D03613,13,461.0,2.75
D02071,10,460.96000000000004,3.5
D08975,14,460.92999999999995,3.0
D00289,16,460.8999999999999,2.5714285714285716
D07254,13,460.78999999999996,2.8333333333333335
D06042,16,460.68999999999994,3.3333333333333335
D09411,16,460.62000000000006,2.5
D01046,14,460.62,3.25
D01121,11,460.54,1.25
D01935,15,460.51,3.0
D04017,12,460.49999999999994,2.5
D00702,16,460.49,2.2857142857142856
D02979,11,460.34000000000003,2.0
D03084,13,460.22,3.75
D07499,13,460.08,2.857142857142857
D02937,16,460.0799999999999,3.2
D03435,14,460.07000000000005,3.857142857142857
D07094,14,459.97999999999996,2.8
D04213,11,459.77000000000004,2.0
D02989,13,459.71,2.8333333333333335
D09131,15,459.69000000000005,4.5
D07382,12,459.69,4.333333333333333
D09537,13,459.66999999999996,3.0
D05126,14,459.56000000000006,3.0
D03718,14,459.35,2.6
D04153,15,459.29,3.8333333333333335
D07531,13,459.23,3.0
D08316,13,459.21,3.25
D02468,13,459.15999999999997,3.3333333333333335
D00912,16,459.12,3.6
D03981,13,458.93,3.7142857142857144
D03193,15,458.73,2.5
D00011,15,458.69000000000005,3.2
D05717,13,458.62,4.166666666666667
D03794,14,458.52000000000004,2.75
D02288,14,458.27,3.8333333333333335
D06119,11,458.23,1.6666666666666667
D08965,12,458.06999999999994,2.5
D05323,14,458.03,2.6666666666666665
D08899,17,457.9,4.0
D07347,17,457.88,2.6666666666666665
D05390,16,457.84000000000003,3.3333333333333335
D09515,16,457.68000000000006,3.0
D01546,14,457.51,2.8
D04709,18,457.02,3.6
D06946,15,457.0,3.3333333333333335
D00348,16,456.88999999999993,3.25
D03525,13,456.8299999999999,3.0
D06073,15,456.74,3.0
D03603,15,456.7200000000001,3.5
D06215,17,456.51,2.0
D05645,14,456.51,1.0
D08576,15,456.48999999999995,1.6666666666666667
D08656,13,456.41999999999996,1.0
D06262,15,456.3,2.75
D03296,15,456.25,3.7142857142857144
D05925,13,456.22999999999996,3.6666666666666665
D05265,14,456.19,3.5
D07336,14,456.11,2.4285714285714284
D09842,12,456.07,3.3333333333333335
D05735,11,455.97,4.0
D02933,11,455.92,2.8333333333333335
D09094,17,455.91999999999996,3.2
D06515,13,455.89000000000004,2.75
D07085,14,455.86,1.5
D04995,14,455.76,3.125
D02801,14,455.7100000000001,2.8333333333333335
D03964,12,455.63,2.0
D03459,13,455.59999999999997,2.3333333333333335
D05223,16,455.58000000000004,3.2
D08840,14,455.39,3.5
D09729,12,455.29,3.5
D04471,14,455.26,2.875
D05974,14,455.07,2.75
D06329,15,455.01,3.3333333333333335
D07721,16,454.78,3.3333333333333335
D05281,10,454.75,1.8
D00754,11,454.74,2.2
D03799,14,454.74,3.0
D07664,15,454.48,2.25
D04939,13,454.46999999999997,3.3333333333333335
D01409,13,454.40999999999997,1.8
D04401,14,454.15999999999997,3.0
D08100,12,454.12,4.0
D02461,15,454.09000000000003,1.0
D04206,14,454.07,2.75
D01302,19,453.7799999999999,3.4
D06644,16,453.73,2.5
D03701,15,453.46999999999997,3.142857142857143
D06790,16,453.38,2.4285714285714284
D09763,15,453.36999999999995,2.75
D05611,14,453.34,3.8
D00226,14,453.19999999999993,3.0
D07450,14,453.16999999999996,3.375
D02076,14,453.01,3.5
D00513,18,452.98,3.0
D08518,16,452.96000000000004,3.0
D00973,14,452.86999999999995,3.0
D06692,14,452.85,3.6666666666666665
D08720,15,452.85,3.2
D05496,13,452.83,3.4
D06595,17,452.78,3.5
D09760,14,452.57000000000005,3.0
D07385,14,452.53000000000003,3.75
D09286,14,452.46000000000004,2.5
D01283,15,452.43000000000006,4.333333333333333
D09124,13,452.38,4.2
D06552,15,452.26,4.2
D01594,13,452.23999999999995,2.0
D08649,14,452.23,3.5
D01829,14,452.09000000000003,3.3333333333333335
D01378,16,452.03,2.7142857142857144
D03057,15,452.01,3.5
D07141,13,451.98,3.75
D02249,13,451.95,3.2
D06671,11,451.92999999999995,4.0
D01861,17,451.89,2.1666666666666665
D04252,12,451.88000000000005,2.5
D03196,13,451.68000000000006,4.0
D07008,14,451.62,2.4285714285714284
D04866,15,451.59,3.6666666666666665
D04491,15,451.48,2.142857142857143
D06363,15,451.4,5.0
D01771,15,451.36,2.5
D09654,16,451.26,3.6666666666666665
D06682,15,451.11,2.8
D02757,17,450.79,2.75
D00463,13,450.78,2.3333333333333335
D05074,13,450.65000000000003,3.0
D02983,13,450.50000000000006,3.3333333333333335
D03210,12,450.0,2.75
D01763,12,449.75,3.0
D02929,12,449.63,2.6666666666666665
D04885,16,449.6,3.142857142857143
D00593,13,449.54999999999995,3.1666666666666665
D09322,14,449.0799999999999,3.0
D03723,16,449.05999999999995,3.888888888888889
D05448,15,449.03000000000003,3.6666666666666665
D07127,12,449.0,2.3333333333333335
D04820,14,448.93,3.6666666666666665
D00545,14,448.86,2.0
D09391,12,448.82,1.6666666666666667
D06137,14,448.8,3.3333333333333335
D02045,14,448.62,3.2
D03039,14,448.56,2.8
D04472,14,448.5,3.0
D04475,11,448.36,3.6
D00531,12,448.34000000000003,3.3333333333333335
D07925,12,448.24,3.0
D01682,11,448.24,2.4
D04385,14,448.15,4.0
D04497,15,448.13,3.0
D01794,13,448.01,2.3333333333333335
D02926,17,447.89,3.25
D03735,12,447.88,3.6666666666666665
D06902,14,447.82000000000005,3.6
D08622,13,447.49,3.5
D06554,12,447.33000000000004,2.2
D05031,14,447.25,3.6
D03540,12,447.06999999999994,3.0
D07143,11,446.99999999999994,2.5
D00928,17,446.87,2.3333333333333335
D08157,13,446.7,1.75
D00265,15,446.67999999999995,3.5555555555555554
D01377,14,446.37,3.0
D05307,12,446.30999999999995,
D09599,13,446.25,1.5
D03022,16,446.13,2.8
D01635,16,446.04,2.857142857142857
D01599,15,446.01,3.5
D02475,11,445.63,2.6666666666666665
D01059,16,445.56,2.5
D08665,14,445.56,3.0
D04553,15,445.53,3.0
D03467,14,445.5299999999999,3.5
D03142,13,445.51,4.25
D07913,12,445.4200000000001,4.0
D02337,16,445.41999999999996,2.8
D04258,11,445.38,3.75
D02170,12,445.37000000000006,2.3333333333333335
D03185,10,445.28000000000003,2.6666666666666665
D08170,13,445.24,3.1666666666666665
D03075,13,445.14000000000004,2.3333333333333335
D06327,12,445.03999999999996,2.0
D02544,15,444.9200000000001,1.5
D02623,13,444.77,2.0
D06687,13,444.66,3.4285714285714284
D06248,13,444.66,3.8333333333333335
D07975,17,444.31,2.0
D01345,15,444.29999999999995,2.5
D05190,16,444.20000000000005,4.0
D01185,15,444.15,2.25
D01077,14,444.08000000000004,2.375
D00979,13,444.07,1.75
D03868,14,443.95,3.0
D00177,15,443.87,1.0
D01510,14,443.59,2.6
D00337,13,443.38999999999993,3.4285714285714284
D08742,13,443.37999999999994,2.0
D06466,15,443.36,2.0
D06342,13,443.21000000000004,2.0
D08808,12,443.19000000000005,3.3333333333333335
D00166,11,443.1,3.8
D03624,15,443.08,3.3333333333333335
D04877,12,442.86,2.0
